Category: All categories

Week,Stock Market: (United States)
2018-01-07,21
2018-01-14,25
2018-01-21,23
2018-01-28,35
2018-02-04,100
2018-02-11,35
2018-02-18,24
2018-02-25,26
2018-03-04,25
2018-03-11,19
2018-03-18,28
2018-03-25,31
2018-04-01,33
2018-04-08,25
2018-04-15,20
2018-04-22,21
2018-04-29,18
2018-05-06,18
2018-05-13,16
2018-05-20,15
2018-05-27,16
2018-06-03,15
2018-06-10,16
2018-06-17,18
2018-06-24,20
2018-07-01,17
2018-07-08,17
2018-07-15,16
2018-07-22,18
2018-07-29,17
2018-08-05,16
2018-08-12,17
2018-08-19,17
2018-08-26,19
2018-09-02,17
2018-09-09,16
2018-09-16,19
2018-09-23,16
2018-09-30,21
2018-10-07,46
2018-10-14,27
2018-10-21,35
2018-10-28,30
2018-11-04,24
2018-11-11,27
2018-11-18,28
2018-11-25,24
2018-12-02,41
2018-12-09,29
2018-12-16,45
2018-12-23,60
2018-12-30,36
