Category: All categories

Month,"""Stock Market"": (United States)"
2004-01,27
2004-02,27
2004-03,27
2004-04,25
2004-05,21
2004-06,19
2004-07,16
2004-08,16
2004-09,18
2004-10,23
2004-11,26
2004-12,23
2005-01,25
2005-02,24
2005-03,24
2005-04,26
2005-05,19
2005-06,16
2005-07,14
2005-08,17
2005-09,18
2005-10,20
2005-11,23
2005-12,19
2006-01,26
2006-02,25
2006-03,22
2006-04,22
2006-05,23
2006-06,17
2006-07,17
2006-08,14
2006-09,17
2006-10,21
2006-11,21
2006-12,19
2007-01,22
2007-02,29
2007-03,29
2007-04,22
2007-05,20
2007-06,17
2007-07,20
2007-08,28
2007-09,21
2007-10,27
2007-11,28
2007-12,22
2008-01,36
2008-02,26
2008-03,29
2008-04,22
2008-05,19
2008-06,18
2008-07,21
2008-08,15
2008-09,57
2008-10,100
2008-11,47
2008-12,32
2009-01,29
2009-02,34
2009-03,45
2009-04,30
2009-05,24
2009-06,19
2009-07,19
2009-08,19
2009-09,21
2009-10,23
2009-11,23
2009-12,19
2010-01,21
2010-02,20
2010-03,22
2010-04,21
2010-05,30
2010-06,18
2010-07,15
2010-08,15
2010-09,17
2010-10,19
2010-11,19
2010-12,19
2011-01,22
2011-02,24
2011-03,24
2011-04,20
2011-05,17
2011-06,15
2011-07,17
2011-08,50
2011-09,24
2011-10,25
2011-11,24
2011-12,20
2012-01,19
2012-02,21
2012-03,20
2012-04,19
2012-05,18
2012-06,15
2012-07,13
2012-08,13
2012-09,15
2012-10,19
2012-11,26
2012-12,16
2013-01,18
2013-02,20
2013-03,20
2013-04,20
2013-05,18
2013-06,17
2013-07,15
2013-08,15
2013-09,21
2013-10,27
2013-11,22
2013-12,20
2014-01,24
2014-02,25
2014-03,23
2014-04,24
2014-05,17
2014-06,14
2014-07,17
2014-08,16
2014-09,18
2014-10,30
2014-11,23
2014-12,28
2015-01,26
2015-02,24
2015-03,24
2015-04,24
2015-05,19
2015-06,20
2015-07,33
2015-08,59
2015-09,39
2015-10,28
2015-11,23
2015-12,25
2016-01,50
2016-02,36
2016-03,28
2016-04,25
2016-05,22
2016-06,32
2016-07,21
2016-08,18
2016-09,21
2016-10,21
2016-11,56
2016-12,25
2017-01,29
2017-02,29
2017-03,28
2017-04,25
2017-05,24
2017-06,22
2017-07,21
2017-08,24
2017-09,22
2017-10,26
2017-11,28
2017-12,31
